1649635200000,3203.04000000,3210.49000000,3180.00000000,3191.27000000,12128.12210000,1649636099999,38736820.29877300,18832,4709.55770000,15045543.57146100,0
1649636100000,3191.27000000,3205.39000000,3175.88000000,3204.61000000,9202.96460000,1649636999999,29367429.09241800,12037,4478.37320000,14296528.90701500,0
1649637000000,3204.62000000,3211.40000000,3198.38000000,3204.12000000,3727.15050000,1649637899999,11944511.79582500,6504,2055.83120000,6588226.80793200,0
1649637900000,3204.13000000,3209.91000000,3197.65000000,3203.89000000,3309.31910000,1649638799999,10606181.66560500,5336,1693.51790000,5427800.53388900,0
1649638800000,3203.89000000,3211.55000000,3201.85000000,3211.15000000,2664.30520000,1649639699999,8544863.56324200,4548,1440.57890000,4620577.30055600,0
1649639700000,3211.15000000,3213.63000000,3208.00000000,3208.74000000,2237.41050000,1649640599999,7184557.58952900,4584,1082.22390000,3475143.37684200,0
1649640600000,3208.73000000,3209.01000000,3194.62000000,3197.99000000,3148.28050000,1649641499999,10077386.02373800,4427,1228.91900000,3933457.28086600,0
1649641500000,3197.99000000,3198.00000000,3185.75000000,3187.09000000,2651.48940000,1649642399999,8458728.21954100,5507,1128.62400000,3600485.16032700,0
1649642400000,3187.08000000,3205.00000000,3175.00000000,3192.08000000,9254.14580000,1649643299999,29510799.69570200,11319,5172.77770000,16509109.04436100,0
1649643300000,3192.08000000,3194.62000000,3169.01000000,3176.79000000,7508.50180000,1649644199999,23859310.54784100,9351,2210.41810000,7026387.83828100,0
1649644200000,3176.78000000,3181.45000000,3167.26000000,3173.63000000,4621.15290000,1649645099999,14668047.19953700,7154,2088.26160000,6628334.91831300,0
1649645100000,3173.62000000,3175.71000000,3153.00000000,3163.95000000,8671.96150000,1649645999999,27421922.95154700,11915,3316.52790000,10485925.76762500,0
1649646000000,3163.95000000,3171.41000000,3151.84000000,3164.26000000,8791.30580000,1649646899999,27793052.27919600,9949,4599.32670000,14539289.75092700,0
1649646900000,3164.25000000,3171.18000000,3162.83000000,3165.01000000,4028.69670000,1649647799999,12756771.90128700,5253,2229.12650000,7058405.82656900,0
1649647800000,3165.01000000,3174.15000000,3157.84000000,3170.59000000,4276.14340000,1649648699999,13546067.03345500,6079,1973.45690000,6253625.28412800,0
1649648700000,3170.60000000,3176.84000000,3168.53000000,3175.31000000,2327.33340000,1649649599999,7386018.31354200,4171,1122.77580000,3563112.92944600,0
1649649600000,3175.31000000,3178.00000000,3166.25000000,3166.61000000,3067.45610000,1649650499999,9731702.60231400,5104,1610.20290000,5108221.17699600,0
1649650500000,3166.60000000,3174.68000000,3165.43000000,3174.04000000,2194.56910000,1649651399999,6958818.36145400,3981,1245.04240000,3947602.65889200,0
1649651400000,3174.03000000,3178.30000000,3169.31000000,3177.61000000,2610.72000000,1649652299999,8286927.20919900,3476,1486.22720000,4718583.38213900,0
1649652300000,3177.61000000,3185.71000000,3175.32000000,3179.34000000,4044.65980000,1649653199999,12857914.14109600,4683,1633.45770000,5194262.90797400,0
1649653200000,3179.33000000,3182.31000000,3173.40000000,3175.01000000,2278.15140000,1649654099999,7238953.74341400,3900,719.00690000,2285522.35484500,0
1649654100000,3175.00000000,3183.73000000,3174.18000000,3182.14000000,2657.33950000,1649654999999,8450435.95927400,3763,1708.02110000,5431354.16422100,0
1649655000000,3182.13000000,3187.34000000,3180.00000000,3180.98000000,3818.59470000,1649655899999,12156523.03326100,4243,1359.04670000,4326105.15841500,0
1649655900000,3180.99000000,3186.75000000,3178.63000000,3185.28000000,2076.80660000,1649656799999,6610075.93627800,3553,1105.07430000,3517360.74528500,0
1649656800000,3185.29000000,3186.00000000,3178.38000000,3182.84000000,1780.94710000,1649657699999,5666987.53694600,4357,891.03660000,2834977.50267900,0
